rank,driver_id,transport_type,WAPU,WADO,PACE PU Succeded,PACE DO Succeded,PACE PU vs DO,Online Rate,Cancelations,IAB,score_WAPU,score_WADO,score_PACE PU Succeded,score_PACE DO Succeded,score_PACE PU vs DO,score_Online Rate,score_Cancelations,score_IAB,Total_Score
0,427199,e_motorbike,3.6094936953776156,2.784292654201731,3.981533600396977,4.021643876185794,-0.04011027578881684,0.9970462962962964,0.0,0.936940836940837,0.22526920686303734,0.023636004212470568,0.006731966302676839,0.04554583790714335,0.059613146383037295,0.9970462962962964,0.0,0.936940836940837,1.573190971568768
1,370425,e_motorbike,2.280903570973587,2.573067181554795,4.493186714307743,4.748132923462706,-0.25494620915496313,0.9657199265381082,0.007538150395293252,0.8592592592592593,0.09082676117340098,0.019769536801877593,0.014575049752698261,0.0788233504030078,0.0563630939802336,0.9657199265381082,0.007538150395293252,0.8592592592592593,1.557083243290856
2,653770,e_motorbike,3.264296939442411,4.915755711693747,4.373149075948188,4.111341640531946,0.2618074354162411,0.9638055555555556,0.006481481481481481,0.9777777777777779,0.1903381206991421,0.06265228546587313,0.012735003852065514,0.04965452816898349,0.06418057775904758,0.9638055555555556,0.006481481481481481,0.9777777777777779,1.55554133590674
3,505787,motorbike,1.889047619047619,3.471547619047619,5.843614602071067,5.006639741763304,0.8369748603077634,0.9898333333333333,0.0,0.8500000000000001,0.051174146294452126,0.03621615797444816,0.03527563444377687,0.09066449777957017,0.07288174912267233,0.9898333333333333,0.0,0.8500000000000001,1.5536211477184136
4,476245,e_bike,3.761104339654766,3.093548466018914,5.493655828148883,5.11536186052076,0.3782939676281239,1.0,0.0020964360587002098,1.0,0.24061096308627047,0.029296910082125188,0.029911148636274167,0.09564461644631317,0.065942793827736,1.0,0.0020964360587002098,1.0,1.5364971318625806
5,681641,bike,3.204832140852974,6.103496141975309,5.243727851079086,5.781015376541525,-0.537287525462439,1.0,0.0,1.0,0.18432076981871787,0.08439379044810355,0.02608002569895667,0.12613550034927976,0.05209181561865729,1.0,0.0,1.0,1.526978098066285
6,634083,bike,3.3622071967210854,3.784519725353059,5.443791024886275,6.0422038215365665,-0.5984127966502915,0.9980314051164565,0.0,0.9876543209876544,0.20024583731155576,0.041945090353154704,0.029146775660571448,0.13809948215282775,0.05116710841822109,0.9980314051164565,0.0,0.9876543209876544,1.5250814322077801
7,440895,e_motorbike,3.2711899830262148,5.436085273728126,4.535115309596377,4.407152074414019,0.12796323518235816,1.010643021120294,0.015680452453547447,0.9214646464646464,0.19103564028823852,0.07217688147772267,0.0152177693274457,0.06320440266029931,0.062155773724844904,1.010643021120294,0.015680452453547447,0.9214646464646464,1.512636747652842
8,465779,e_motorbike,3.4239129119178697,6.723440762580923,4.034713282633903,3.7555035566404604,0.2792097259934424,0.9992592592592592,0.029924812030075187,0.9500000000000001,0.20648995061008352,0.09574183309611609,0.007547152752812615,0.03335503084333442,0.06444384077756846,0.9992592592592592,0.029924812030075187,0.9500000000000001,1.5117566391492692
9,367910,e_motorbike,3.612553926453751,4.010726792708042,5.174984075632981,4.564487811455818,0.6104962641771623,0.992964416896235,0.0026041666666666665,0.9545454545454546,0.22557887719905287,0.04608579480046247,0.02502625869777046,0.070411313728098,0.06945556573703086,0.992964416896235,0.0026041666666666665,0.9545454545454546,1.5083478946126083
10,471342,e_bike,3.239583333333333,6.220833333333333,9.270101269434083,4.580423174621154,4.68967809481293,0.9978333333333333,0.0,1.0,0.1878373060490218,0.08654163947763155,0.0877999329222981,0.07114124799049092,0.13116570194378926,0.9978333333333333,0.0,1.0,1.4333475049501017
11,379780,e_motorbike,4.264814814814815,3.542034556878307,4.6172587466730395,3.585889728583483,1.0313690180895565,0.9935729166666667,0.0,0.871875,0.29158234015441126,0.03750641641051469,0.016476938507399536,0.025585710295703303,0.0758225569739965,0.9935729166666667,0.0,0.871875,1.4184739543246414
12,650081,e_motorbike,4.064456565227536,4.117006188027981,4.031077274485555,4.121139533773156,-0.09006225928760064,0.9988165983606557,0.007352941176470588,0.8,0.27130772528724784,0.04803123165176938,0.007491416718853044,0.05010332986253913,0.058857469427830995,0.9988165983606557,0.007352941176470588,0.8,1.3556724842359449
13,472433,bike,3.993719362745098,3.2779575163398693,6.656180463598928,6.711975537635251,-0.05579507403632278,0.97425,0.0,0.9479166666666667,0.26414969940078575,0.032672504769401256,0.047731381682154926,0.1687790040745877,0.05937586570362266,0.97425,0.0,0.9479166666666667,1.3494582110361144
14,593201,bike,3.885593394533435,4.535622174856865,6.904606544728542,6.250348996380653,0.654257548347888,0.9890328537904295,0.0,0.9250280583613917,0.25320823646054547,0.05569396782816102,0.05153948219495892,0.14763376719510152,0.07011758937777092,0.9890328537904295,0.0,0.9250280583613917,1.3358678690952832
15,144250,e_motorbikexl,3.697479423868313,4.376768812463257,6.399823828350413,3.924966914886264,2.474856913464149,0.9139999999999999,0.0,0.8888888888888888,0.23417264239728824,0.052786168209766324,0.043801714435819226,0.041117458980074614,0.09765973862826213,0.9139999999999999,0.0,0.8888888888888888,1.3333511662376782
16,694272,e_bike,3.330922803594372,3.0915797551214217,5.65495865171036,5.360818859444809,0.2941397922655512,0.8050246913580247,0.03931813466127191,0.9629629629629629,0.19708011279907073,0.02926087296770596,0.03238374475954799,0.10688800460131587,0.06466970382106121,0.8050246913580247,0.03931813466127191,0.9629629629629629,1.2983870807110138
17,647176,e_bike,3.387090423227594,5.291774110389154,5.107049488861566,5.593304831861983,-0.4862553430004168,0.919416513621059,0.01642837391629662,0.8244949494949494,0.20276381615750336,0.06953527578953207,0.023984895675236696,0.11753724271608788,0.0528638338961972,0.919416513621059,0.01642837391629662,0.8244949494949494,1.2607980249651545
18,585681,e_motorbike,3.057576550529449,4.336322809414597,4.162806671834278,3.9190178689074995,0.24378880292677774,0.901246913580247,0.004830917874396135,0.674074074074074,0.16941970940819703,0.05204580697058101,0.009510684515994312,0.04084495734685818,0.06390799067875776,0.901246913580247,0.004830917874396135,0.674074074074074,1.2347609208595367
19,593211,bike,4.735918202081943,4.127910363879979,6.301682544208992,6.110491787336286,0.19119075687270623,0.9930428396970102,0.0027472527472527475,0.8720418470418471,0.3392541468263716,0.04823083182329602,0.04229731573191987,0.14122747650282536,0.06311228391182008,0.9930428396970102,0.0027472527472527475,0.8720418470418471,1.2282153791953716
20,649157,e_bike,4.043199721953807,4.555994391974784,5.244064822237093,5.5876678934763255,-0.34360307123923206,0.9589537037037038,0.002777777777777778,0.7916666666666666,0.2691567067414467,0.05606687982869243,0.026085191098796222,0.11727903746403318,0.05502188702696784,0.9589537037037038,0.002777777777777778,0.7916666666666666,1.2242328904326563
21,678596,bike,3.663401412001764,4.014914700404594,5.942175366660476,6.081029806320725,-0.1388544396602491,0.952800785634119,0.004115226337448559,0.7759259259259259,0.23072422653492106,0.04616245415609973,0.036786463324821196,0.13987794281739244,0.05811933805207137,0.952800785634119,0.004115226337448559,0.7759259259259259,1.2129410603372905
22,485491,bike,5.0194065981490565,5.160219730272792,6.666635741702646,5.524021727666341,1.1426140140363055,0.9817231564709892,0.016907051282051284,0.9213699494949495,0.3679408520726502,0.06712718212039925,0.04789164967707413,0.11436366511809838,0.07750547873066754,0.9817231564709892,0.016907051282051284,0.9213699494949495,1.211357226964998
23,472695,bike,3.84599256785176,5.523218430309097,8.132402644162418,7.244670125046381,0.8877325191160382,0.9889412878787879,0.014587242026266416,0.8951704545454545,0.2492009569447475,0.07377184777643961,0.07036025549948755,0.19317957949344386,0.07364961438797397,0.9889412878787879,0.014587242026266416,0.8951704545454545,1.2093622462958835
24,587522,bike,4.52073189905067,6.393985039083985,5.68672491501711,5.722561249264118,-0.035836334247007905,0.9677917814508723,0.020135379858289306,0.8762626262626263,0.31747905432264484,0.08971116926484868,0.032870686883491845,0.12345795420016716,0.05967780285721159,0.9677917814508723,0.020135379858289306,0.8762626262626263,1.200722360326845
25,593204,bike,4.23959716681899,6.605827704696568,6.464159599563688,5.403889886809954,1.0602697127537342,0.9781348331802877,0.037912870937544786,0.867929292929293,0.28903052059108286,0.09358893434923932,0.044787911546182564,0.10886091342454692,0.07625976862041099,0.9781348331802877,0.037912870937544786,0.867929292929293,1.1956232066405734
26,499936,e_motorbike,3.987407147629708,4.801042805022657,4.849459357626866,4.112677562819547,0.73678179480732,0.9288150855773806,0.12330624639930512,0.8537037037037037,0.26351095489844134,0.060552473782840316,0.020036320282557533,0.049715721342900955,0.07136602171072674,0.9288150855773806,0.12330624639930512,0.8537037037037037,1.1940310508643122
27,622094,bike,4.643148535468359,5.010264010273452,4.779215506471273,4.716618424109884,0.06259708236138829,0.9759037686700024,0.012225006961849067,0.7696351267779838,0.32986661591202193,0.06438225321980878,0.018959558759006467,0.07737979918920027,0.061166910182749466,0.9759037686700024,0.012225006961849067,0.7696351267779838,1.1815587512233503
28,589766,bike,4.0035495705366015,7.50799681899469,6.746286732470222,6.29181712107162,0.4544696113986014,0.9442230384654626,0.0206341110969442,0.8939393939393939,0.2651444359661504,0.11010307649111899,0.04911261237715833,0.14953325355729266,0.06709518407359594,0.9442230384654626,0.0206341110969442,0.8939393939393939,1.176539758842596
