rank,driver_id,transport_type,WAPU,WADO,PACE PU Succeded,PACE DO Succeded,PACE PU vs DO,Online Rate,Cancelations,IAB,score_WAPU,score_WADO,score_PACE PU Succeded,score_PACE DO Succeded,score_PACE PU vs DO,score_Online Rate,score_Cancelations,score_IAB,Total_Score
0,370425,e_motorbike,1.9633986928104574,2.0437908496732025,4.091949056828335,4.363111014690479,-0.2711619578621436,0.9976666666666667,0.0,1.0,0.06619816068020128,0.0060579689991678955,0.22834101316435962,0.2743500174584642,0.34267915014065403,0.9976666666666667,0.0,1.0,1.0800403562238197
1,465779,e_motorbike,2.6681159420289853,7.105072463768115,4.300807289082424,3.9176568921495933,0.38315039693283026,1.0,0.0,1.0,0.10361677568295495,0.04079433574096391,0.24337403789798684,0.20783816109201272,0.38140347451797457,1.0,0.0,1.0,1.022973215068107
2,440895,e_motorbike,3.078368794326241,5.87836879432624,4.506066151553288,4.012184802768978,0.4938813487843099,0.996,0.0,1.0,0.1254001129730747,0.032375276736901784,0.2581479901766157,0.22195235713508607,0.387956890889655,0.996,0.0,1.0,0.9701673720886665
3,427199,e_motorbike,2.717063492063492,3.0607142857142855,4.489350941856151,4.533381122084708,-0.04403018022855676,0.9987499999999999,0.0,1.0,0.10621576064053939,0.013037273474990327,0.2569448766670696,0.2997734681651434,0.35612154438710913,0.9987499999999999,0.0,1.0,0.966657076665148
4,653770,e_motorbike,2.835648148148148,4.635185185185184,4.420805803663556,4.502808270155265,-0.08200246649170939,0.988,0.0,1.0,0.11251229105211402,0.023843113331045603,0.25201119152237494,0.29520856005598733,0.3538742214994593,0.988,0.0,1.0,0.9505506225390188
5,144250,e_motorbikexl,1.925,2.0166666666666666,5.345982983209097,4.854250518355896,0.4917324648532002,1.0,0.0,1.0,0.06415929203539823,0.005871811491973918,0.3186028277389232,0.3476832710320379,0.38782971297869595,1.0,0.0,1.0,0.8758530847229709
6,545148,motorbike,12.266666666666667,5.283333333333333,3.241483859461387,2.5256890425429748,0.7157948169184123,0.9995828118481436,0.0,1.0,0.6132743362831858,0.02829145537041979,0.16712693407767693,0.0,0.40109044867860105,0.9995828118481436,0.0,1.0,0.7897996374382599
7,476245,e_bike,3.677,3.261,5.138234939342077,5.1589750699284815,-0.02074013058640478,1.0,0.0,1.0,0.15718584070796457,0.01441186563465131,0.3036497112248651,0.39318244722086493,0.35749992495794397,1.0,0.0,1.0,0.77407021025371
8,524684,e_motorbike,2.0416666666666665,4.058333333333334,5.62089023773394,5.848748639825898,-0.2278584020919574,0.998,0.0,1.0,0.07035398230088494,0.01988408891600259,0.33838987425427375,0.4961742443215429,0.34524199482492035,0.998,0.0,1.0,0.7279558153823755
9,649163,e_bike,2.6453703703703706,2.5800925925925924,5.389028299816768,5.945567111185233,-0.5565388113684655,0.9975,0.0,1.0,0.10240904621435594,0.009738691679058473,0.3217011078605451,0.5106304496518246,0.3257896236568989,0.9975,0.0,1.0,0.727231080937317
10,634083,bike,3.5986486486486484,3.4806306306306305,5.318637114241587,5.705335726825363,-0.3866986125837766,0.9991666666666666,0.0,1.0,0.153025591963645,0.015919224978591277,0.31663454944740255,0.4747609077108565,0.3358413167081599,0.9991666666666666,0.0,1.0,0.7029850758580113
11,647176,e_bike,3.405673758865248,4.6861702127659575,5.5224587606934135,5.535005867646929,-0.012547106953515907,1.0,0.0,1.0,0.1427791376388627,0.02419303154374775,0.3313050549826181,0.44932853531754885,0.35798481463252524,1.0,0.0,1.0,0.6944094258846973
12,283943,e_motorbikexl,5.523484848484849,9.700757575757574,5.158061787351661,3.9441373135516984,1.2139244737999628,0.98375,0.038461538461538464,1.0,0.25522928399034595,0.058608928342409085,0.30507679165785156,0.21179201828110691,0.43057137514083926,0.98375,0.038461538461538464,1.0,0.6840100641259088
13,499936,e_motorbike,2.829411764705882,6.891176470588236,5.812281252914547,4.6564843259032935,1.1557969270112531,0.9958333333333332,0.07692307692307693,1.0,0.11218115564809991,0.039326334110111036,0.352165658114705,0.31815431188464505,0.4271311986553911,0.9958333333333332,0.07692307692307693,1.0,0.6699515979973041
14,379780,e_motorbike,1.4125,2.85,6.430256632481101,4.125299987368953,2.3049566451121484,0.97375,0.0,0.875,0.036946902654867254,0.011591108399740724,0.396645777789829,0.2388418650109227,0.49514219273028265,0.97375,0.0,0.875,0.6695821534143577
15,681641,bike,4.167361111111111,5.979166666666667,5.3724199178811185,5.82391613486452,-0.4514962169834016,1.0,0.0,1.0,0.18322271386430675,0.033067068288405076,0.32050568351107345,0.49246644161048203,0.3320063846099717,1.0,0.0,1.0,0.6387317081157611
16,472716,bike,2.877642276422764,2.457317073170732,4.602137194676226,4.788482388775066,-0.18634519409883943,0.9986666666666667,0.0,0.7,0.11474206777466002,0.008896064100763781,0.265062912092145,0.3378632690008099,0.3476988809290692,0.9986666666666667,0.0,0.7,0.6244034727692188
17,694272,e_bike,3.2192307692307693,3.673076923076923,5.420018974515959,5.794026972086744,-0.37400799757078484,0.8966666666666666,0.0,1.0,0.1328795098706603,0.017240013960950398,0.3239317289581036,0.48800361681889765,0.3365923884076463,0.8966666666666666,0.0,1.0,0.5980194086504084
18,485491,bike,4.499561403508772,5.2859649122807015,5.8084994781447765,5.28870133930911,0.5197981388356663,0.9979166666666667,0.025,1.0,0.20086166744294362,0.028309516308023263,0.35189345666476746,0.4125521972341405,0.3894907304655287,0.9979166666666667,0.025,1.0,0.5898090985512632
19,649155,e_bike,2.9470588235294115,4.284313725490196,6.4199266026391815,6.159380188157168,0.26054641448201377,0.9986666666666667,0.0,1.0,0.11842790213430501,0.021435027665696996,0.39590225146368563,0.5425554088007235,0.3741473737404424,0.9986666666666667,0.0,1.0,0.546198702861813
20,471342,e_bike,2.3833333333333333,4.55,9.40495680985731,2.7327209484224553,6.672235861434855,0.998,0.0,1.0,0.08849557522123892,0.023258474091585,0.6107562816421209,0.03091244572748305,0.7536119217211158,0.998,0.0,1.0,0.4909653015964561
21,483976,e_motorbike,3.0595833333333333,10.0,3.466896172789633,3.59080689033926,-0.12391071754962679,0.9911111111111112,0.0,0.3333333333333333,0.12440265486725662,0.0606626758683799,0.18335147473837346,0.1590353792257657,0.35139395546724983,0.9911111111111112,0.0,0.3333333333333333,0.4455983042774189
22,581593,bike,4.156578947368421,6.696052631578947,5.736043223339409,4.884797061138684,0.8512461622007246,0.9936666666666666,0.025,0.8,0.18265020959478337,0.03798716870721815,0.34667826041016175,0.3522442508574608,0.4091068979992016,0.9936666666666666,0.025,0.8,0.439999879097841
23,593204,bike,4.982051282051282,6.575641025641025,4.226940769035725,4.595097315960398,-0.3681565469246735,0.98,0.0,0.6,0.2264805990469707,0.03716076503661816,0.23805733474070798,0.3089884656583302,0.3369386962088629,0.98,0.0,0.6,0.43237413930851
24,678596,bike,3.935185185185185,4.075925925925926,5.701567432315422,5.300730373187373,0.40083705912804923,0.9973333333333334,0.037037037037037035,0.8,0.1708947885939036,0.020004829628499886,0.3441967904983393,0.41434828202279295,0.38245022847116006,0.9973333333333334,0.037037037037037035,0.8,0.4284013770816006
25,676735,bike,3.53015873015873,4.676190476190476,6.628007265620644,5.740145450148344,0.8878618154722995,1.0,0.0,0.9,0.14938895912347236,0.02412453905190397,0.41087930896067903,0.4799584335629189,0.41127393095247705,1.0,0.0,0.9,0.42437482834854856
26,650081,e_motorbike,3.025,4.709848484848484,4.047431710229874,4.258550221549351,-0.21111851131947734,0.998,0.0,0.4,0.1225663716814159,0.024355539225711174,0.22513678048812027,0.2587377869210161,0.3462327157788561,0.998,0.0,0.4,0.42097080590488034
27,276993,e_motorbikexl,4.713157894736842,8.371929824561404,5.901158995293314,3.60433732189291,2.2968216734004043,0.9891666666666666,0.043478260869565216,0.75,0.21220307405682343,0.04948897580436391,0.3585628265912797,0.16105564141334905,0.4946607387564163,0.9891666666666666,0.043478260869565216,0.75,0.41971714917486913
28,364173,e_motorbike,3.8369791666666666,5.261458333333334,4.863085567574724,4.180489865973524,0.6825957016012003,0.7487499999999999,0.0,0.75,0.16568030973451325,0.028141323826590913,0.28384523779530685,0.24708240223547645,0.3991256175071239,0.7487499999999999,0.0,0.75,0.37487510890098863
29,649157,e_bike,3.1704545454545454,4.574242424242424,5.9813529629616955,5.695285033952081,0.2860679290096142,0.9916666666666667,0.0,0.75,0.1302896218825422,0.023424853637992765,0.36433496152910605,0.47326021390885964,0.3756578196305815,0.9916666666666667,0.0,0.75,0.3746991960775845
30,590533,bike,3.759090909090909,4.737878787878787,7.072184098563728,6.369246567562548,0.7029375310011803,1.0670833333333334,0.027777777777777776,0.875,0.16154465004022522,0.024547915576245152,0.44284990089604614,0.5738910767782416,0.4003295128551794,1.0670833333333334,0.027777777777777776,0.875,0.311142499409618
31,585681,e_motorbike,2.887962962962963,4.524074074074075,4.30165937622612,3.9217232961588193,0.37993608006730106,1.0125,0.0,0.25,0.11529006882989182,0.02308054041001004,0.24343536872018212,0.20844532592830803,0.38121324083517755,1.0125,0.0,0.25,0.2910354552764305
32,593201,bike,4.537000000000001,5.1433333333333335,6.986077329109303,5.9593412193772615,1.0267361097320418,0.988,0.0,0.9,0.2028495575221239,0.02733061348991497,0.4366521792119598,0.5126870958007445,0.4194929614799853,0.988,0.0,0.9,0.2889875924952715
33,587522,bike,3.615740740740741,6.932407407407408,5.561933746884811,6.243897241802254,-0.6819634949174436,0.8843333333333334,0.0,0.8,0.1539331366764995,0.039609308473456104,0.33414635282072735,0.5551748590383666,0.3183665846525455,0.8843333333333334,0.0,0.8,0.2831030916717383
34,472433,bike,4.654166666666667,3.9136904761904763,7.2567686227442625,6.651041816029533,0.6057268067147294,0.967,0.0,1.0,0.20907079646017696,0.01889138238129735,0.45613577278868483,0.6159666220305235,0.3945762673408068,0.967,0.0,1.0,0.2723591589985105
35,593211,bike,6.269298245614035,3.5267543859649124,6.063522903927553,6.404742080418105,-0.34121917649055167,0.995,0.0,0.875,0.2948299953423381,0.01623577952010082,0.3702493214351961,0.5791909995609421,0.338532937037297,0.995,0.0,0.875,0.27096096710412587
36,472059,bike,7.634883720930232,5.123255813953489,5.651539253110597,5.309148764810251,0.3423904883003459,0.9993333333333333,0.0,0.8,0.3673389586334636,0.02719281833650924,0.34059590368029163,0.4156052528894303,0.3789911711098128,0.9993333333333333,0.0,0.8,0.26960922868382575
37,593212,bike,5.909090909090909,5.5003787878787875,6.744286351684519,4.609375002673361,2.1349113490111575,0.9380000000000001,0.08,0.9,0.27570394207562343,0.029781072246851777,0.41924874864201855,0.3111203023612459,0.4850783613555631,0.9380000000000001,0.08,0.9,0.23706757331869743
38,382413,e_motorbikexl,5.351923076923077,4.078846153846154,5.430968726163234,3.9490901924842396,1.481878533678994,0.9824999999999999,0.0,0.5,0.24611980939414566,0.020024871609116847,0.32471986110671003,0.2125315448799013,0.44642976426789,0.9824999999999999,0.0,0.5,0.23267414874223613
39,359781,e_motorbike,8.764393939393939,6.468939393939394,5.404477402356204,3.8497795638804817,1.5546978384757226,0.9633333333333333,0.0,0.7,0.4273129525341914,0.03642845506192438,0.32281309055847945,0.19770322938990628,0.4507394465766752,0.9633333333333333,0.0,0.7,0.22833615921215655
40,618510,bike,5.608333333333333,8.794117647058822,6.2039383444623715,5.5706929100862,0.6332454343761711,0.9812500000000001,0.0,0.75,0.2597345132743362,0.052386516813611464,0.3803560276337581,0.4546570558559268,0.3962049088545595,0.9812500000000001,0.0,0.75,0.18791097756780795
41,676737,bike,3.3829545454545453,6.00530303030303,5.986389654741986,6.00936882531966,-0.02297917057767407,0.979,0.0,0.6,0.14157280772325018,0.033246446236875934,0.36469748835551646,0.5201568413310327,0.35736741131934263,0.979,0.0,0.6,0.16195900503398208
42,480282,bike,2.5634259259259258,7.693518518518518,7.744338378989927,6.225301893856433,1.519036485133494,0.9833333333333333,0.08888888888888889,0.9,0.09805801376597834,0.04483293298254978,0.4912296645922539,0.5523983416618928,0.4486288921840543,0.9833333333333333,0.08888888888888889,0.9,0.15929659925771522
43,641356,bike,4.62972972972973,3.845495495495496,5.355749097555476,5.666042803358294,-0.3102937058028177,1.0,0.0,0.5,0.20777325998564936,0.018423349570640526,0.3193057650229176,0.4688939841611259,0.34036320655560426,1.0,0.0,0.5,0.14524043470406234
44,644184,bike,3.7679012345679013,8.472222222222221,7.21649268125189,7.759406738186195,-0.542914056934305,1.0,0.0967741935483871,1.0,0.16201245493280889,0.050177298204140755,0.45323682445377617,0.7814593288520455,0.3265959807528689,1.0,0.0967741935483871,1.0,0.12974391925597273
45,657653,bike,3.9594444444444443,8.85388888888889,8.456707064339357,8.262756389093889,0.1939506752454676,1.2366666666666666,0.0,0.875,0.17218289085545718,0.05279673618789796,0.5425039473951998,0.8566157096984327,0.3702060221987134,1.2366666666666666,0.0,0.875,0.11736136033096556
