"driver_id","delivery_id","zone_name","date","del_cancelation_reason","del_accepted_at","del_canceled_at"
276993,307323718,Madrid,2024-01-22,Late / Unresponsive,2024-01-22 09:04:55.71,2024-01-22 09:15:52.276
276993,308875307,Madrid,2024-02-05,Late / Unresponsive,2024-02-05 09:31:36.08,2024-02-05 09:48:14.719
276993,311512769,Madrid,2024-02-25,Late / Unresponsive,2024-02-25 08:34:59.661,2024-02-25 08:45:34.514
276993,311725553,Madrid,2024-02-26,Late / Unresponsive,2024-02-26 09:17:13.59,2024-02-26 09:33:00.223
276993,313085927,Madrid,2024-03-10,Late / Unresponsive,2024-03-10 08:21:29.523,2024-03-10 08:45:17.492
280920,308560647,Madrid,2024-01-29,Late / Unresponsive,2024-01-29 09:58:19.724,2024-01-29 10:07:14.396
280920,309281771,Madrid,2024-02-04,Refused delivery,2024-02-04 13:04:54.834,2024-02-04 13:11:35.925
280920,309282172,Madrid,2024-02-04,Refused delivery,2024-02-04 13:07:34.628,2024-02-04 13:11:35.942
280920,309374292,Madrid,2024-02-05,Equipment failure,2024-02-05 11:01:19.702,2024-02-05 11:18:31.193
280920,309394808,Madrid,2024-02-05,Refused delivery,2024-02-05 13:20:58.161,2024-02-05 13:22:04.186
280920,309839139,Madrid,2024-02-09,Refused delivery,2024-02-09 13:15:25.685,2024-02-09 13:16:41.356
280920,312246764,Madrid,2024-03-03,Late / Unresponsive,2024-03-03 11:02:40.353,2024-03-03 11:30:10.985
280920,312589538,Madrid,2024-03-05,Refused delivery,2024-03-05 13:11:40.659,2024-03-05 13:12:41.676
280920,312877453,Madrid,2024-03-09,Late / Unresponsive,2024-03-09 09:36:07.653,2024-03-09 09:45:34.12
283943,311536798,Madrid,2024-02-26,Refused delivery,2024-02-26 09:36:53.776,2024-02-26 09:49:05.502
283943,312257258,Madrid,2024-03-02,Late / Unresponsive,2024-03-02 12:29:42.118,2024-03-02 12:45:48.75
283943,312267534,Madrid,2024-03-02,Refused delivery,2024-03-02 13:02:02.442,2024-03-02 13:07:12.704
283943,312270427,Madrid,2024-03-02,Refused delivery,2024-03-02 13:02:02.442,2024-03-02 13:07:12.711
283943,312166871,Madrid,2024-03-02,Refused delivery,2024-03-02 13:09:03.172,2024-03-02 13:27:03.002
283943,312269545,Madrid,2024-03-02,Refused delivery,2024-03-02 13:09:03.172,2024-03-02 13:27:03.009
283943,312142906,Madrid,2024-03-04,Late / Unresponsive,2024-03-04 11:36:39.132,2024-03-04 11:48:58.333
284449,312147848,Madrid,2024-03-01,Refused delivery,2024-03-01 14:50:21.505,2024-03-01 14:51:40.328
284449,312201299,Madrid,2024-03-01,Equipment failure,2024-03-01 20:06:41.968,2024-03-01 21:45:02.029
284449,312203797,Madrid,2024-03-01,Equipment failure,2024-03-01 20:08:03.499,2024-03-01 21:45:02.037
284449,312291874,Madrid,2024-03-02,Refused delivery,2024-03-02 14:57:03.926,2024-03-02 14:59:27.66
284449,312291071,Madrid,2024-03-02,Refused delivery,2024-03-02 14:59:44.919,2024-03-02 15:00:50.874
284449,312340212,Madrid,2024-03-02,Lack mandatory equipment,2024-03-02 20:03:30.404,2024-03-02 20:15:39.79
284449,312364297,Madrid,2024-03-02,Lack mandatory equipment,2024-03-02 22:17:15.846,2024-03-02 22:29:20.521
284449,312364168,Madrid,2024-03-02,Lack mandatory equipment,2024-03-02 22:17:15.846,2024-03-02 22:29:20.53
284449,312369394,Madrid,2024-03-02,Lack mandatory equipment,2024-03-02 22:29:26.965,2024-03-02 22:35:11.531
284449,311838753,Madrid,2024-03-03,Lack mandatory equipment,2024-03-03 13:10:19.62,2024-03-03 13:15:43.209
284449,312465152,Madrid,2024-03-03,Late / Unresponsive,2024-03-03 20:48:20.925,2024-03-03 20:52:57.447
284449,312466692,Madrid,2024-03-03,Refused delivery,2024-03-03 20:58:20.924,2024-03-03 21:04:03.565
284449,312562068,Madrid,2024-03-04,Refused delivery,2024-03-04 22:30:19.83,2024-03-04 23:01:04.18
359415,306959634,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 09:35:26.712,2024-01-16 09:46:47.958
359415,307052284,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 10:44:26.851,2024-01-16 10:58:40.998
359415,307054115,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 12:46:27.017,2024-01-16 13:05:08.877
359415,307072108,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 13:05:27.429,2024-01-16 13:31:51.894
359415,307123602,Madrid,2024-01-17,Refused delivery,2024-01-17 08:11:56.689,2024-01-17 08:18:47.744
359415,307262387,Madrid,2024-01-19,Late / Unresponsive,2024-01-19 08:20:12.522,2024-01-19 08:40:34.53
359415,307295051,Madrid,2024-01-19,Late / Unresponsive,2024-01-19 10:47:32.559,2024-01-19 11:19:46.319
359415,307766090,Madrid,2024-01-22,Refused delivery,2024-01-22 08:18:10.483,2024-01-22 08:35:42.982
359415,307743267,Madrid,2024-01-22,Equipment failure,2024-01-22 08:40:15.82,2024-01-22 08:44:37.651
359415,307766439,Madrid,2024-01-22,Refused delivery,2024-01-22 09:12:15.547,2024-01-22 09:17:58.431
359415,307986154,Madrid,2024-01-24,Late / Unresponsive,2024-01-24 12:50:38.828,2024-01-24 13:16:48.903
359415,307986156,Madrid,2024-01-24,Late / Unresponsive,2024-01-24 12:50:38.828,2024-01-24 13:16:48.917
359415,307861941,Madrid,2024-01-24,Late / Unresponsive,2024-01-24 13:16:58.921,2024-01-24 13:38:22.982
359415,308060619,Madrid,2024-01-25,Equipment failure,2024-01-25 07:34:00.849,2024-01-25 07:42:11.766
359415,308060620,Madrid,2024-01-25,Equipment failure,2024-01-25 07:34:00.849,2024-01-25 07:42:11.778
359415,308096332,Madrid,2024-01-26,Equipment failure,2024-01-26 07:33:43.82,2024-01-26 07:41:23.433
359415,308195294,Madrid,2024-01-26,Equipment failure,2024-01-26 12:59:42.407,2024-01-26 13:05:32.606
359415,308560516,Madrid,2024-01-29,Equipment failure,2024-01-29 07:55:10.749,2024-01-29 07:57:39.089
359415,308574934,Madrid,2024-01-29,Late / Unresponsive,2024-01-29 12:21:39.954,2024-01-29 12:49:16.833
359415,308784972,Madrid,2024-02-01,Refused delivery,2024-02-01 07:33:29.619,2024-02-01 07:40:14.084
359415,308870984,Madrid,2024-02-01,Late / Unresponsive,2024-02-01 09:18:08.905,2024-02-01 09:32:45.51
359415,308865827,Madrid,2024-02-01,Late / Unresponsive,2024-02-01 11:03:09.52,2024-02-01 11:18:52.882
359415,308865828,Madrid,2024-02-01,Late / Unresponsive,2024-02-01 11:03:09.52,2024-02-01 11:18:52.894
359415,310421211,Madrid,2024-02-15,Equipment failure,2024-02-15 09:22:54.052,2024-02-15 09:27:33.006
359415,310538111,Madrid,2024-02-15,Late / Unresponsive,2024-02-15 10:25:33.853,2024-02-15 10:37:57.396
359415,311007678,Madrid,2024-02-19,Equipment failure,2024-02-19 13:16:41.11,2024-02-19 13:26:58.149
359415,313232958,Madrid,2024-03-12,Late / Unresponsive,2024-03-12 08:00:03.638,2024-03-12 08:17:19.754
359781,307013293,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 13:15:47.234,2024-01-16 13:32:08.078
359781,307076381,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 13:32:26.826,2024-01-16 13:46:37.043
359781,308094997,Madrid,2024-01-25,Late / Unresponsive,2024-01-25 14:14:40.659,2024-01-25 14:34:08.545
359781,310786566,Madrid,2024-02-17,Late / Unresponsive,2024-02-17 13:17:37.901,2024-02-17 13:25:26.23
