Timestamp,ID Pedido,Justificado,Como se ha justificado
,,,
,,,
2/7/2024 12:27:05,302559894,NO,
2/7/2024 12:44:21,302642374,NO,
2/7/2024 12:48:22,171353,NO,
2/7/2024 12:49:40,303642636,NO,
2/7/2024 12:52:01,303649793,NO,
2/7/2024 12:53:39,303768565,NO,
2/7/2024 12:56:17,302891217,NO,
2/7/2024 12:59:08,309281771,NO,
2/7/2024 12:59:47,309282172,NO,
2/7/2024 13:04:23,309374292,SI,Fallo del móvil
2/7/2024 13:12:01,309394808,NO,
2/7/2024 13:16:19,304295247,NO,
2/7/2024 13:17:05,305558098,NO,
2/7/2024 13:18:00,305573240,NO,
2/7/2024 13:21:19,307123602,NO,
2/7/2024 13:25:48,307766090,NO,
2/7/2024 13:26:43,307743267,NO,Accidente no justificado
2/7/2024 13:27:31,307766439,NO,
2/7/2024 13:28:45,308060619,NO,
2/7/2024 13:29:29,308060620,NO,
2/7/2024 13:30:01,308096332,NO,
2/7/2024 13:30:59,308195294,NO,
2/7/2024 13:38:39,308560516,NO,
2/7/2024 13:43:43,308784972,NO,
2/7/2024 13:46:23,304138752,NO,
2/7/2024 13:50:25,308369702,SI,Fin de turno
2/7/2024 13:55:23,305078778,NO,
2/7/2024 13:59:09,304567520,NO,
2/7/2024 14:02:54,304436642,NO,
2/7/2024 14:04:25,305214539,NO,
2/7/2024 14:05:27,306286502,NO,
2/7/2024 14:08:37,308595230,SI,Km excesivo
2/7/2024 14:13:26,302413828,NO,No adjunto foto
2/7/2024 14:14:55,306166292,NO,
2/7/2024 14:15:57,306242860,NO,
2/7/2024 14:17:44,307964729,NO,
2/7/2024 14:26:00,304755982,SI,Entrega en Madrid Central
2/7/2024 14:32:01,306942608,NO,
2/7/2024 14:34:53,306946399,NO,
2/7/2024 14:40:14,302555733,NO,
2/7/2024 14:40:30,302914757,NO,
2/7/2024 14:49:48,304171623,SI,No le cargaba el pedido
2/7/2024 14:51:12,304514068,NO,
2/7/2024 14:54:26,305267601,NO,
2/7/2024 14:55:33,306820133,NO,
2/7/2024 14:56:17,306820831,NO,
2/7/2024 14:59:32,302535729,SI,Foto
2/7/2024 15:01:32,303569467,NO,
2/7/2024 15:02:54,303658300,SI,Km excesivo
2/7/2024 15:04:41,303820499,SI,Fin de Turno
2/7/2024 15:05:21,304208914,SI,Km excesivo
2/7/2024 15:06:03,304668621,NO,
2/7/2024 15:07:03,304681773,NO,
2/7/2024 15:09:58,305278155,NO,
2/7/2024 15:29:08,305441428,NO,
2/7/2024 15:50:50,305435910,NO,
2/7/2024 15:53:15,306061561,NO,
2/7/2024 15:54:17,306686910,NO,
2/7/2024 15:54:49,306271252,NO,
2/7/2024 16:00:02,306888307,SI,Km excesivo
2/7/2024 16:06:40,304043678,SI,
2/7/2024 16:09:30,304430890,SI,
2/7/2024 16:10:23,304915162,NO,
2/7/2024 16:13:25,305619030,SI,Km excesivo
2/7/2024 16:15:46,305955900,NO,
2/7/2024 16:19:08,308005285,SI,Fin de turno
2/7/2024 16:21:36,305275381,NO,
2/7/2024 16:22:32,305402937,SI,Km excesivo
2/7/2024 16:25:15,306125750,SI,Km excesivo
