"driver_id","week","transport_type","tenure","deliveries_invoiced","e2e_invoiced","client_price_invoiced","driver_earnings_invoiced","deliveries_not_invoiced","e2e_not_invoiced","distance_to_pu_invoiced","distance_to_do_invoiced","deliveries_succeeded","e2e_succeeded","client_price_succeeded","driver_earnings_succeeded","distance_to_pu_succeeded","distance_to_do_succeeded","performance_deliveries","picking_time","wapu","delivering_time","wado","distance_to_pu","distance_to_do","assigned_hours","online_hours","extra_time","no_laborable_retribuido","no_disponible","assigned_shifts","is_in_area_begin","no_shows","invitations","non_commit","lack_equipment","late_unresponsive","refused_delivery","equipment_failure"
144250,1.0,e_motorbikexl,,29,48744,157.76,5.59,1,175,55238,54379,19,29108,109.32,5.59,29533,29501,19,12523,4397,7438,5750,27354,31755,30.00,29.82,0.12,0.00,0.00,10,10,0,26,0,,,,
144250,2.0,e_motorbikexl,,12,20136,69.96000000000001,3.84,0,0,22153,25822,10,16888,60.760000000000005,3.84,18849,23732,10,6659,2795,5423,2573,18849,23732,18.00,17.74,0.09,12.00,0.00,6,6,0,10,0,,,,
144250,3.0,e_motorbikexl,,8,14153,49.99,2.83,0,0,18208,15187,8,14153,49.99,2.83,18208,15187,8,6453,2122,3465,2115,18208,15187,24.00,18.00,0.03,6.00,0.00,8,6,2,7,0,,,,
144250,4.0,e_motorbikexl,,10,12647,55.25,1.9499999999999997,0,0,12465,15972,8,9739,46.05,1.9499999999999997,9233,11674,8,3438,2179,2253,1870,9233,11674,24.00,24.00,0.00,6.00,0.00,8,8,0,8,0,,,,
144250,5.0,e_motorbikexl,,10,18030,62.739999999999995,3.26,0,0,20230,20620,9,16075,57.489999999999995,3.26,18109,17401,8,7164,996,3950,3106,17588,17057,30.00,26.93,0.01,0.00,0.00,10,9,1,10,0,,,,
144250,6.0,e_motorbikexl,,11,15202,64.07,2.36,0,0,16802,12973,9,12764,53.57,2.36,13108,12601,9,5105,1943,3525,2191,13108,12601,30.00,24.00,0.00,0.00,0.00,10,8,2,10,0,,,,
144250,7.0,e_motorbikexl,,7,12210,43.58,2.41,0,0,15773,12872,7,12210,43.58,2.41,15773,12872,7,5190,2443,2832,1745,15773,12872,24.00,24.00,0.02,6.00,0.00,8,8,0,6,0,,,,
144250,51.0,e_motorbikexl,,6,11359,32.269999999999996,1.27,0,0,11465,6795,6,11359,32.269999999999996,1.27,11465,6795,6,5052,1937,2251,2119,11465,6795,9.00,9.00,0.00,3.00,0.00,3,3,0,5,0,,,,
144250,52.0,e_motorbikexl,,32,54675,188.38,11.68,0,0,65104,71672,28,47629,168.68,11.68,52967,61621,24,17674,4442,13050,7573,48291,57284,27.00,27.00,1.30,3.00,0.00,9,9,0,25,0,,,,
171353,51.0,bike,208,15,26187,73.44,0.0,3,4757,21389,22738,14,22422,68.09,0.0,20246,21469,13,5921,3262,6740,4059,18021,19751,18.98,24.57,0.00,7.00,0.00,5,0,0,18,3,,3,,
276993,1.0,e_motorbikexl,179,21,39646,150.83,9.58,0,0,37303,54942,20,37040,144.86,9.58,35833,51273,20,12424,4341,9417,11923,37299,50696,24.00,17.73,0.33,0.00,0.00,4,2,1,15,0,,,,
