"driver_id","week","transport_type","tenure","deliveries_invoiced","e2e_invoiced","client_price_invoiced","driver_earnings_invoiced","deliveries_not_invoiced","e2e_not_invoiced","distance_to_pu_invoiced","distance_to_do_invoiced","deliveries_succeeded","e2e_succeeded","client_price_succeeded","driver_earnings_succeeded","distance_to_pu_succeeded","distance_to_do_succeeded","performance_deliveries","picking_time","wapu","delivering_time","wado","distance_to_pu","distance_to_do","assigned_hours","online_hours","extra_time","no_laborable_retribuido","no_disponible","assigned_shifts","is_in_area_begin","no_shows","invitations","non_commit","lack_equipment","late_unresponsive","refused_delivery","equipment_failure"
144250,2.0,e_motorbikexl,,10,17980,59.5,3.3200000000000003,0,0,19151,22996,8,14732,50.300000000000004,3.3200000000000003,15847,20906,8,5786,2277,4787,2284,15847,20906,12.00,11.74,0.05,0.00,0.00,4,4,0,8,0,,,,
144250,3.0,e_motorbikexl,,8,14153,49.99,2.83,0,0,18208,15187,8,14153,49.99,2.83,18208,15187,8,6453,2122,3465,2115,18208,15187,24.00,18.00,0.03,6.00,0.00,8,6,2,7,0,,,,
144250,4.0,e_motorbikexl,,10,12647,55.25,1.9499999999999997,0,0,12465,15972,8,9739,46.05,1.9499999999999997,9233,11674,8,3438,2179,2253,1870,9233,11674,24.00,24.00,0.00,6.00,0.00,8,8,0,8,0,,,,
144250,5.0,e_motorbikexl,,10,18030,62.74,3.26,0,0,20230,20620,9,16075,57.49,3.26,18109,17401,8,7164,996,3950,3106,17588,17057,30.00,26.93,0.01,0.00,0.00,10,9,1,10,0,,,,
144250,6.0,e_motorbikexl,,11,15202,64.07,2.3600000000000003,0,0,16802,12973,9,12764,53.57,2.3600000000000003,13108,12601,9,5105,1943,3525,2191,13108,12601,30.00,24.00,0.00,0.00,0.00,10,8,2,10,0,,,,
144250,7.0,e_motorbikexl,,7,12210,43.58,2.41,0,0,15773,12872,7,12210,43.58,2.41,15773,12872,7,5190,2443,2832,1745,15773,12872,24.00,24.00,0.02,6.00,0.00,8,8,0,6,0,,,,
144250,8.0,e_motorbikexl,,4,6328,25.23,1.55,0,0,8131,8167,4,6328,25.23,1.55,8131,8167,4,2742,302,1907,1377,8131,8167,30.00,24.00,0.01,0.00,0.00,10,8,2,4,0,,,,
144250,9.0,e_motorbikexl,,5,8605,31.080000000000002,2.15,0,0,6122,11460,5,8605,31.080000000000002,2.15,6122,11460,5,3547,1470,2420,1168,6122,11460,24.00,24.00,0.18,6.00,0.00,8,6,0,5,0,,,,
144250,10.0,e_motorbikexl,,2,3485,13.559999999999999,1.03,0,0,4427,5466,2,3485,13.559999999999999,1.03,4427,5466,2,1420,231,1592,242,4427,5466,24.00,24.00,0.00,6.00,0.00,8,8,0,2,0,,,,
276993,2.0,e_motorbikexl,182,19,43742,126.74999999999997,8.22,0,0,37915,43673,19,43742,126.74999999999997,8.22,37915,43673,18,14108,6100,10096,11025,37192,39790,18.00,17.55,0.38,0.00,0.00,3,2,0,19,0,,,,
276993,3.0,e_motorbikexl,182,18,39449,120.05999999999999,8.91,0,0,31762,51589,17,36391,114.25999999999999,8.91,29535,48283,16,10524,5782,10241,9247,27611,46397,24.00,17.77,0.26,6.00,0.00,4,3,1,15,0,,,,
276993,4.0,e_motorbikexl,182,34,67506,219.27,11.439999999999998,1,657,58663,67677,33,65805,213.86999999999998,11.439999999999998,55702,66645,28,18878,7594,15737,15112,47768,58448,30.00,29.29,0.29,0.00,0.00,5,3,0,32,1,,1,,
276993,5.0,e_motorbikexl,182,29,57015,198.07000000000002,12.76,0,0,57235,67473,29,57015,198.07000000000002,12.76,57235,67473,26,18545,6793,13014,13295,54341,57876,24.00,26.91,0.71,6.00,0.00,4,4,0,25,0,,,,
276993,6.0,e_motorbikexl,182,17,41402,132.48,8.47,1,998,33454,45013,17,41402,132.48,8.47,33454,45013,16,12727,4549,11876,9978,31585,41127,24.00,17.65,0.00,6.00,0.00,4,3,1,18,1,,1,,
276993,7.0,e_motorbikexl,182,20,41487,141.15999999999997,7.39,0,0,41638,45441,17,36254,125.36000000000001,7.39,35349,39837,18,13279,6645,11013,7677,37991,42148,30.00,17.98,0.28,0.00,0.00,5,3,2,20,0,,,,
276993,8.0,e_motorbikexl,182,30,61645,205.23,12.73,1,635,64980,69685,29,59508,199.43,12.73,63805,67755,27,18856,8510,16025,12285,59158,63397,30.00,23.55,0.39,0.00,0.00,5,3,1,31,1,,1,,
276993,9.0,e_motorbikexl,182,35,72492,215.5,13.499999999999998,1,947,59314,71968,35,72492,215.5,13.499999999999998,59314,71968,35,23321,11052,18684,19437,59314,71968,30.00,29.58,0.30,0.00,0.00,5,5,0,30,0,,,,
276993,10.0,e_motorbikexl,182,24,52133,159.54000000000002,11.71,1,1428,54126,62118,24,52133,159.54000000000002,11.71,54126,62118,19,14634,5373,10258,9544,41855,51172,24.00,23.74,0.00,6.00,0.00,4,3,0,23,1,,1,,
280920,2.0,e_motorbikexl,181,24,40905,161.64000000000004,9.739999999999998,1,669,50492,51733,24,40905,161.64000000000004,9.739999999999998,50492,51733,24,14293,7190,12324,7098,50492,51733,18.00,17.47,0.00,0.00,0.00,3,1,0,25,1,,1,,
280920,3.0,e_motorbikexl,181,41,72567,243.0,15.179999999999998,3,1233,73419,83449,40,70998,237.2,15.179999999999998,72900,80697,39,21025,11230,21486,16304,71387,79794,24.00,23.67,0.54,6.00,0.00,4,3,0,38,0,,,,
280920,4.0,e_motorbikexl,181,45,80714,301.98,17.65,1,167,93879,100629,44,78915,292.48,17.65,91134,97934,43,23965,11176,23399,18612,89090,95530,30.00,28.85,0.47,0.00,0.00,5,2,0,42,0,,,,
280920,5.0,e_motorbikexl,181,33,62495,221.17999999999998,15.48,4,2142,68108,82689,33,62495,221.17999999999998,15.48,68108,82689,33,15515,9348,24387,13247,68108,82689,30.00,23.62,0.26,0.00,0.00,5,3,1,33,3,,1,3,
280920,6.0,e_motorbikexl,181,36,71135,241.70999999999998,18.13,3,1174,79959,103714,34,67129,226.79000000000002,18.13,74988,95712,35,22343,10591,22807,14088,77893,100373,30.00,28.33,0.14,0.00,0.00,5,0,0,39,3,,,2,1
280920,7.0,e_motorbikexl,181,47,86563,302.1600000000001,21.999999999999996,0,0,98256,118397,47,86563,302.1600000000001,21.999999999999996,98256,118397,47,25593,12589,25954,22432,98256,118397,32.00,31.14,0.41,0.00,0.00,6,3,0,43,0,,,,
280920,9.0,e_motorbikexl,181,32,60613,222.6,14.170000000000002,2,1737,66734,77509,31,59670,218.1,14.170000000000002,65632,75060,31,19086,8313,19150,13122,65632,75060,30.00,26.46,0.16,0.00,0.00,5,2,0,31,1,,1,,
280920,10.0,e_motorbikexl,181,41,76146,255.9,17.150000000000002,2,628,78127,93206,40,74663,249.6,17.150000000000002,76859,90387,39,18712,13727,20329,19381,74423,84723,30.00,28.49,0.03,0.00,0.00,5,1,0,42,2,,1,1,
283943,2.0,e_motorbikexl,180,30,60658,193.09000000000003,12.720000000000002,2,224,63962,69454,29,58206,188.74000000000004,12.720000000000002,62865,68985,27,17590,6734,16715,12371,59579,58882,24.00,23.84,0.04,0.00,0.00,4,4,0,29,0,,,,
283943,3.0,e_motorbikexl,180,21,36382,127.86999999999998,8.629999999999999,0,0,30072,48071,20,33434,121.23999999999998,8.629999999999999,28804,43745,20,8549,5156,10263,11166,30072,48071,24.00,15.00,0.36,6.00,0.00,4,3,1,19,0,,,,
283943,4.0,e_motorbikexl,180,41,83478,268.85,18.549999999999997,0,0,81765,98368,41,83478,268.85,18.549999999999997,81765,98368,39,23909,8790,25471,20326,78372,90590,30.00,29.78,0.38,0.00,0.00,5,4,0,39,0,,,,
283943,8.0,e_motorbikexl,180,27,57089,165.53,12.290000000000001,1,1172,54376,69793,26,55985,159.58,12.290000000000001,51599,66488,25,15340,9917,15278,13084,50900,60564,30.00,23.86,0.15,0.00,0.00,5,4,1,25,0,,,,
283943,9.0,e_motorbikexl,180,31,59694,188.29,14.34,8,7162,49887,76075,31,59694,188.29,14.34,49887,76075,28,13127,7954,16438,14929,46617,65452,30.00,25.63,0.08,0.00,0.00,5,5,0,32,4,,1,5,
283943,10.0,e_motorbikexl,180,26,55374,168.60000000000002,13.57,3,2789,49202,74489,25,54079,164.10000000000002,13.57,46633,70805,22,12670,7291,14710,12805,42910,60730,24.00,23.61,0.09,6.00,0.00,4,4,0,26,1,,1,,
